transaction_id,amount,failure_reason,recovery_probability,action,policy,status,recovered_amount,reason
TX000001,1802.11,bank_timeout,83.48,RETRY,APPROVED,FAILED,0.0,High recovery probability and transaction is within the automatic retry amount limit.
TX000002,955.02,bank_timeout,85.0,RETRY,APPROVED,FAILED,0.0,High recovery probability and transaction is within the automatic retry amount limit.
TX000003,2095.8,network_error,71.98,RETRY,APPROVED,SUCCESS,2095.8,High recovery probability and transaction is within the automatic retry amount limit.
TX000004,5029.27,issuer_declined,32.9,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000005,867.7,issuer_declined,49.88,RETRY_LATER,APPROVED,SUCCESS,867.7,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000006,867.71,authentication_failed,35.02,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000007,5319.92,expired_card,62.55,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000008,2362.4,authentication_failed,22.68,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000009,685.76,bank_timeout,65.89,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000010,1886.65,authentication_failed,55.28,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000011,689.92,network_error,76.48,RETRY,APPROVED,SUCCESS,689.92,High recovery probability and transaction is within the automatic retry amount limit.
TX000012,688.33,expired_card,42.48,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000013,1396.83,insufficient_funds,65.76,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000014,161.86,insufficient_funds,60.68,RETRY_LATER,APPROVED,SUCCESS,161.86,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000015,195.41,network_error,67.09,RETRY_LATER,APPROVED,SUCCESS,195.41,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000016,624.98,suspicious_transaction,6.42,STOP,BLOCKED,NOT_EXECUTED,0.0,Suspicious transaction requires manual review.
TX000017,398.29,issuer_declined,59.77,RETRY_LATER,APPROVED,SUCCESS,398.29,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000018,1501.54,bank_timeout,79.15,RETRY,APPROVED,SUCCESS,1501.54,High recovery probability and transaction is within the automatic retry amount limit.
TX000019,442.29,insufficient_funds,66.61,RETRY_LATER,APPROVED,SUCCESS,442.29,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000020,267.12,expired_card,58.3,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000021,4748.81,insufficient_funds,62.22,RETRY_LATER,APPROVED,SUCCESS,4748.81,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000022,875.0,expired_card,56.26,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000023,1173.24,issuer_declined,8.32,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000024,263.82,bank_timeout,87.84,RETRY,APPROVED,SUCCESS,263.82,High recovery probability and transaction is within the automatic retry amount limit.
TX000025,636.27,authentication_failed,61.39,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000026,1225.28,suspicious_transaction,3.59,STOP,BLOCKED,NOT_EXECUTED,0.0,Suspicious transaction requires manual review.
TX000027,346.89,bank_timeout,67.55,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000028,1596.71,expired_card,47.43,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000029,601.46,issuer_declined,47.22,RETRY_LATER,APPROVED,SUCCESS,601.46,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000030,819.18,bank_timeout,82.8,RETRY,APPROVED,SUCCESS,819.18,High recovery probability and transaction is within the automatic retry amount limit.
TX000031,600.82,insufficient_funds,62.39,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000032,6990.3,bank_timeout,36.76,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000033,1081.93,authentication_failed,36.13,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000034,380.81,expired_card,55.24,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000035,2496.25,authentication_failed,48.2,RETRY_LATER,APPROVED,SUCCESS,2496.25,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000036,323.49,authentication_failed,43.87,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000037,1351.36,issuer_declined,43.24,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000038,154.52,authentication_failed,36.8,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000039,290.56,bank_timeout,38.88,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
TX000040,1335.23,issuer_declined,40.73,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000041,2294.95,issuer_declined,25.16,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000042,1301.62,issuer_declined,43.48,RETRY_LATER,APPROVED,SUCCESS,1301.62,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000043,976.87,insufficient_funds,47.18,RETRY_LATER,APPROVED,FAILED,0.0,Recovery probability is moderate. A delayed retry is safer than an immediate retry.
TX000044,811.51,expired_card,42.06,UPDATE_PAYMENT_METHOD,APPROVED,NOT_EXECUTED,0.0,The payment method appears to be expired. Retrying the same method is unlikely to succeed.
TX000045,250.0,authentication_failed,20.81,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000046,533.87,bank_timeout,20.8,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000047,691.84,suspicious_transaction,11.71,STOP,BLOCKED,NOT_EXECUTED,0.0,Suspicious transaction requires manual review.
TX000048,3156.19,insufficient_funds,54.18,STOP,BLOCKED,NOT_EXECUTED,0.0,Maximum retry limit exceeded.
TX000049,1546.3,issuer_declined,13.16,STOP,APPROVED,NOT_EXECUTED,0.0,Recovery probability is too low for automatic recovery.
