transaction_id,customer_id,amount,payment_method,failure_reason,previous_failures,retry_count,customer_age_days,hour,device_change,location_change,true_recovery_probability,recovered,transaction_date
TX000001,CUST02620,1802.11,UPI,bank_timeout,0,0,286,23,1,0,0.65,1,2026-08-27 20:58:00
TX000002,CUST01729,955.02,UPI,bank_timeout,0,0,1150,6,0,0,0.8,1,2026-08-21 10:39:00
TX000003,CUST02414,2095.8,Debit Card,network_error,0,0,1430,13,0,0,0.75,0,2026-08-16 07:39:00
TX000004,CUST00419,5029.27,UPI,issuer_declined,0,1,1237,8,0,0,0.42,0,2026-08-18 05:27:00
TX000005,CUST00323,867.7,Wallet,issuer_declined,1,1,1183,6,0,1,0.28,1,2026-08-14 04:05:00
TX000006,CUST00327,867.71,Credit Card,authentication_failed,0,1,1302,11,0,0,0.37,0,2026-08-30 11:49:00
TX000007,CUST00293,5319.92,Wallet,expired_card,1,0,335,14,0,0,0.49,0,2026-08-26 08:20:00
TX000008,CUST00900,2362.4,Debit Card,authentication_failed,2,1,66,10,0,1,0.12,0,2026-08-26 19:30:00
TX000009,CUST02941,685.76,Debit Card,bank_timeout,1,2,940,4,0,0,0.58,1,2026-08-12 22:59:00
TX000010,CUST02395,1886.65,Net Banking,authentication_failed,0,0,284,16,0,0,0.4,0,2026-08-07 22:56:00
TX000011,CUST02571,689.92,Credit Card,network_error,0,0,789,12,0,0,0.75,1,2026-08-26 04:16:00
TX000012,CUST00048,688.33,UPI,expired_card,1,1,1313,10,1,0,0.36,0,2026-08-12 23:41:00
TX000013,CUST02051,1396.83,Credit Card,insufficient_funds,0,1,1309,16,0,0,0.55,0,2026-08-25 13:08:00
TX000014,CUST02173,161.86,UPI,insufficient_funds,1,0,744,9,0,0,0.57,1,2026-08-04 14:01:00
TX000015,CUST00351,195.41,Net Banking,network_error,5,1,263,21,0,0,0.32,1,2026-08-28 14:33:00
TX000016,CUST01734,624.98,Credit Card,suspicious_transaction,2,1,1461,9,0,0,0.02,0,2026-08-24 13:19:00
TX000017,CUST01850,398.29,UPI,issuer_declined,0,0,1205,17,0,0,0.5,1,2026-08-29 17:19:00
TX000018,CUST00242,1501.54,Credit Card,bank_timeout,0,1,146,16,0,0,0.67,1,2026-08-07 00:31:00
TX000019,CUST02963,442.29,Wallet,insufficient_funds,0,1,834,6,1,0,0.45,1,2026-08-19 17:01:00
TX000020,CUST01913,267.12,UPI,expired_card,5,0,125,12,0,0,0.25,1,2026-08-09 17:16:00
TX000021,CUST00780,4748.81,Wallet,insufficient_funds,0,1,948,7,0,1,0.47,0,2026-08-26 01:06:00
TX000022,CUST00402,875.0,UPI,expired_card,1,0,192,7,0,0,0.49,1,2026-08-19 06:02:00
TX000023,CUST00241,1173.24,Credit Card,issuer_declined,5,2,932,9,0,0,0.04,0,2026-08-26 07:02:00
TX000024,CUST02712,263.82,Net Banking,bank_timeout,0,0,1187,23,0,0,0.8,1,2026-08-27 14:04:00
TX000025,CUST01953,636.27,Wallet,authentication_failed,1,0,1041,2,0,1,0.31,1,2026-08-11 16:54:00
TX000026,CUST01654,1225.28,UPI,suspicious_transaction,1,2,1218,1,0,0,0.02,0,2026-08-24 19:01:00
TX000027,CUST01296,346.89,Debit Card,bank_timeout,2,1,544,12,0,0,0.6,1,2026-08-04 07:14:00
TX000028,CUST00039,1596.71,Net Banking,expired_card,1,0,151,17,0,0,0.49,0,2026-08-04 03:08:00
